case,video,steps,source,num_applied_updates,num_gradient_calls,num_model_calls,vanilla_rollout_h1_error,vanilla_rollout_h1_p95,vanilla_rollout_h1_max,vanilla_rollout_h5_error,vanilla_rollout_h5_p95,vanilla_rollout_h5_max,vanilla_scorable_ball_transitions,vanilla_missing_ball_frames,vanilla_wrong_color_ball_frames,vanilla_extra_ball_frames,vanilla_metric_video,guided_rollout_h1_error,guided_rollout_h1_p95,guided_rollout_h1_max,guided_rollout_h5_error,guided_rollout_h5_p95,guided_rollout_h5_max,guided_scorable_ball_transitions,guided_missing_ball_frames,guided_wrong_color_ball_frames,guided_extra_ball_frames,guided_metric_video
2,00000/828.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-2/steps-50/diagnostics.json,1875,1875,1925,0.16474552311708296,0.47736605647412517,1.1985310162190896,0.6973093841190956,1.905218355372963,5.308451653651525,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-50/vanilla-diffusion.mp4,0.8620812544964475,3.535955698191469,4.877502203181317,2.4957923494153795,5.7595085870283365,7.956553928266478,9,56,30,38,best-rollout1-matched-10samples-5steps-v1/case-2/steps-50/guided-final.mp4
3,00000/037.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-3/steps-50/diagnostics.json,1875,1875,1925,0.16454396443607403,0.5570314708243168,1.2174379608128627,0.6905937288169567,2.0604597667417868,3.810717841765417,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-50/vanilla-diffusion.mp4,0.3971843783166339,1.2031832628060137,3.6682292017856044,1.5297503970426394,4.2338361527129535,7.354678403279401,19,41,0,40,best-rollout1-matched-10samples-5steps-v1/case-3/steps-50/guided-final.mp4
4,00000/871.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-4/steps-50/diagnostics.json,1875,1875,1925,0.26975925026901376,0.906694734487115,4.282148317797424,0.8758597999902734,3.161054884963332,6.384409218633771,209,0,3,0,best-rollout1-matched-10samples-5steps-v1/case-4/steps-50/vanilla-diffusion.mp4,0.5391414559933692,2.518789317419009,5.011302248547822,1.730938914797499,5.521511995696032,9.00050967174828,207,0,3,0,best-rollout1-matched-10samples-5steps-v1/case-4/steps-50/guided-final.mp4
5,00000/066.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-5/steps-50/diagnostics.json,1875,1875,1925,0.22270099990988754,0.9205212108699693,3.1372527915343214,0.9293092096556708,3.1488146400060772,6.2311042965743395,214,1,0,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-50/vanilla-diffusion.mp4,0.5227342360682921,1.6015375257861817,3.319824424737631,1.7600401722710302,5.2695157682527904,7.945100705680743,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-50/guided-final.mp4
6,00000/704.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-6/steps-50/diagnostics.json,1875,1875,1925,0.40098360681090034,1.7115332076816248,5.62738560319684,1.3982378987872495,5.228402550464532,6.473531542997379,114,22,0,20,best-rollout1-matched-10samples-5steps-v1/case-6/steps-50/vanilla-diffusion.mp4,0.7815373373499052,2.7346341412983852,5.153651711142119,2.265978123585401,5.089865458451687,9.087653901729952,8,111,22,39,best-rollout1-matched-10samples-5steps-v1/case-6/steps-50/guided-final.mp4
7,00000/967.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-7/steps-50/diagnostics.json,1875,1875,1925,0.23133459730451478,0.6272571548266034,4.432083992721822,1.0675233710874834,3.406986536490041,7.070407319317321,169,9,3,7,best-rollout1-matched-10samples-5steps-v1/case-7/steps-50/vanilla-diffusion.mp4,0.774308806836048,3.3671130915470373,9.075891507301922,2.038660767115263,6.709153078905902,9.075891507301922,72,28,22,25,best-rollout1-matched-10samples-5steps-v1/case-7/steps-50/guided-final.mp4
8,00001/016.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-8/steps-50/diagnostics.json,1875,1875,1925,0.16474802704551497,0.45642921979824375,1.11448692359604,0.7455569134451782,1.747307602909146,3.432530984754469,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-8/steps-50/vanilla-diffusion.mp4,0.49790975080796973,1.8945748442805512,3.0613921686393004,1.7482757003332754,5.650134327900614,7.465640158859471,4,77,3,42,best-rollout1-matched-10samples-5steps-v1/case-8/steps-50/guided-final.mp4
9,00000/927.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-9/steps-50/diagnostics.json,1875,1875,1925,0.3694750219579905,1.5282829773161097,3.9940676261209465,1.4537135551877032,5.383070761941549,7.70325830342264,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-50/vanilla-diffusion.mp4,0.8057532286185941,3.7862436490648435,7.763748385647485,1.9579223879342045,7.027339458788123,8.812096720872809,149,14,4,10,best-rollout1-matched-10samples-5steps-v1/case-9/steps-50/guided-final.mp4
10,00000/221.mp4,50,best-rollout1-matched-10samples-5steps-v1/case-10/steps-50/diagnostics.json,1875,1875,1925,0.13831511847778236,0.4249291209458237,0.7356270529885058,0.6374504727881117,1.5163908175124379,4.481778583666646,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-50/vanilla-diffusion.mp4,0.4707519040800662,2.0490881170156676,3.612620392741563,1.5031777608224837,3.9689392294144206,6.338879531189156,45,35,0,35,best-rollout1-matched-10samples-5steps-v1/case-10/steps-50/guided-final.mp4
1,00000/164.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-1/steps-100/diagnostics.json,5625,5625,5725,0.18803751358553966,0.6254452809985296,0.95993163378555,0.7931619846920912,2.1549433624863763,4.4804997958478,199,0,3,1,best-rollout1-matched-10samples-5steps-v1/case-1/steps-100/vanilla-diffusion.mp4,0.40040936067776506,1.274227514657868,3.170208210897228,1.4085692137561017,3.674660883013198,5.447591737456011,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-1/steps-100/guided-final.mp4
2,00000/828.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-2/steps-100/diagnostics.json,5580,5580,5680,0.1700389077133851,0.5372295438130557,1.0860797718448014,0.7353761579307324,2.4253473107540233,5.674893763782891,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-100/vanilla-diffusion.mp4,0.4834795860352321,1.4467493621310767,2.5392937789916696,1.729405700020495,4.159422145818637,6.288833676539706,9,42,5,39,best-rollout1-matched-10samples-5steps-v1/case-2/steps-100/guided-final.mp4
3,00000/037.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-3/steps-100/diagnostics.json,5625,5625,5725,0.17666219855188245,0.6085616562023507,1.231157726053232,0.6875893637602575,1.9757475648980767,3.4782806902781105,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-100/vanilla-diffusion.mp4,0.5036386687416626,1.6403672477138418,3.590285489845021,1.5899607836119511,4.129956932602863,8.298112940836019,7,56,33,34,best-rollout1-matched-10samples-5steps-v1/case-3/steps-100/guided-final.mp4
4,00000/871.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-4/steps-100/diagnostics.json,5625,5625,5725,0.23277600383226546,0.6804585489533458,3.39862432758383,0.9303966765961801,2.929459469852004,6.03129810506583,210,0,0,1,best-rollout1-matched-10samples-5steps-v1/case-4/steps-100/vanilla-diffusion.mp4,0.9141622486798362,3.509421386665968,9.086510253147,2.027957698022171,5.9287100275836035,8.81869457020559,119,15,3,19,best-rollout1-matched-10samples-5steps-v1/case-4/steps-100/guided-final.mp4
5,00000/066.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-5/steps-100/diagnostics.json,5625,5625,5725,0.268589924221475,1.1040844511005135,2.804449154867456,0.9586883298065747,2.756847249258927,6.0187193889997035,214,1,0,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-100/vanilla-diffusion.mp4,0.7082706275752423,2.7627372910337153,5.41557601870565,1.9910397237068924,5.365422725530832,8.173336824522455,193,4,1,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-100/guided-final.mp4
6,00000/704.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-6/steps-100/diagnostics.json,5625,5625,5725,0.3230139945209558,1.0699068419956228,5.3931683314876855,1.3879211039582517,4.406844578249158,7.323928912376343,209,0,3,0,best-rollout1-matched-10samples-5steps-v1/case-6/steps-100/vanilla-diffusion.mp4,0.6001244596425379,1.5145861395944151,6.791513571076727,1.908114883841735,5.159512451293836,7.890774639992476,9,43,0,36,best-rollout1-matched-10samples-5steps-v1/case-6/steps-100/guided-final.mp4
