balls,frames,generated_frames,seed,score_rmse,score_rmse_per_component,score_mse,score_mse_per_coordinate,score_mse_noise_se,elapsed_s,checkpoint
2,49,44,0,77.50594661974176,4.131080835287162,6007.17176142226,17.065828867676874,11.46523609974228,37.198142528533936,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_2n_ball_d8_w256_s1_seed0/ema_0025000.pt
2,49,44,1,77.64735335514186,4.138617839608364,6029.111483058259,17.1281576223246,11.428975438452522,37.29563069343567,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_2n_ball_d8_w256_s1_seed1/ema_0025000.pt
2,49,44,2,77.61772158005381,4.137038460689449,6024.510703278751,17.115087225223725,9.395472436720016,37.33771014213562,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_2n_ball_d8_w256_s1_seed2/ema_0025000.pt
3,25,20,0,65.58650899635668,4.233590951312872,4301.590162329176,17.92329234303823,8.370356505572218,29.768316507339478,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_3n_ball_d8_w256_s1_seed0/ema_0025000.pt
3,25,20,1,64.96426505281377,4.193425277469204,4220.3557338522405,17.58481555771767,9.191167018592568,29.846794605255127,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_3n_ball_d8_w256_s1_seed1/ema_0025000.pt
3,25,20,2,66.13912826542182,4.269262371744249,4374.384287709919,18.22660119879133,10.247176125995944,29.83367919921875,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_3n_ball_d8_w256_s1_seed2/ema_0025000.pt
3,33,28,0,80.26565586087284,4.378850520091972,6442.575510776071,19.174331877309733,14.750760250246518,37.681429862976074,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_3n_ball_d8_w256_s1_seed0/ema_0025000.pt
3,33,28,1,81.60454704540216,4.4518930224778615,6659.302098485254,19.819351483587063,15.272453779597374,37.789464712142944,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_3n_ball_d8_w256_s1_seed1/ema_0025000.pt
3,33,28,2,81.09333984008617,4.4240043830234885,6576.129766419708,19.571814781011035,12.976521878436014,37.78458499908447,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_3n_ball_d8_w256_s1_seed2/ema_0025000.pt
3,41,36,0,92.09339630335475,4.430845595527396,8481.193642686754,19.632392691404522,14.493542107543675,45.79700183868408,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_3n_ball_d8_w256_s1_seed0/ema_0025000.pt
