frames,steps,guide,tag,strength,seeds,rollout_paper_h1,rollout_paper_h1_sd,rollout_paper_h5,rollout_paper_h5_sd,gt_error,gt_error_sd,rollout_h1,rollout_h1_sd,rollout_h5,rollout_h5_sd,invalid_frame_rate,invalid_frame_rate_sd
49,50,oracle,pos,1.0,3,0.09899222559244725,0.0009703210776995972,0.4480016420628445,0.005446588275805477,0.09023491715321678,0.0018585533772858735,0.0701394547609437,0.0008596225743069352,0.3019842361296341,0.005245288056753393,0.032408346861471864,0.0015740546542043416
49,50,oracle,x0,1.0,3,0.01907479365683311,0.0011931288138401594,0.121718173980699,0.006105145573346817,0.027127110116794292,0.0008183148174146119,0.010915386000039504,0.0006411013923641722,0.04910044895102355,0.0019044800696729506,0.0003804788961038962,0.00014497453496586043
49,50,rollout1,,1.0,3,0.11636321425871919,0.004042059581523655,0.6930249536272101,0.01657775619710404,2.8362271487418167,0.009520092588705483,0.052458151468845325,0.0016582850006960975,0.4342847016629625,0.008824746689841553,0.09292985660173159,0.009046887326873018
49,50,rollout1,late,1.0,3,0.13986961065115544,0.003034851307068992,0.8073353484456934,0.010404188043745146,2.8905201580980227,0.010876431013575494,0.06099597762345694,0.0015637411545914282,0.4978926764145621,0.006131413895707063,0.11201298701298701,0.007885319092486836
49,50,rollout1,paper,1.0,3,0.11340746344549486,0.003614511828406114,0.6611238736583717,0.016011646412876713,2.8087840168861398,0.023161558139936252,0.057952975434843366,0.0020971995101281313,0.42152897184562127,0.009874651547957636,0.11348417207792207,0.009120236605567112
49,50,rollout1,pos,0.3,3,0.11344054890306016,0.0012388470922307705,0.7349722533045622,0.0063173818933210425,2.917965475611456,0.008254721627004214,0.029255925262872188,0.0008291236999913335,0.411916310053396,0.005795793450435793,0.011355181277056278,0.0002796576604528763
49,50,rollout1,x0,1.0,3,0.11810198088726971,0.0016916451856814182,0.7505287487239398,0.009771062154790292,2.8216258982697258,0.008311938772071875,0.06721098642997875,0.0011466331995439619,0.56589207686705,0.006673716619858263,0.03170657467532467,0.002530007180810947
49,50,rollout5,,1.0,3,0.11879076981539109,0.0014495925728503225,0.6387610576991446,0.008477258359086151,2.7041951785897855,0.01292332448262539,0.055143368375445374,0.0009888180239294912,0.38124880344504875,0.005346916362076766,0.10059862012987013,0.0020908524778238285
49,50,rollout5,late,0.3,3,0.1412509277931148,0.0031016611843652036,0.806147630362576,0.010039281290512982,2.8883534243619686,0.010546796742312103,0.057307211175506,0.0022308303990336243,0.46749546418705523,0.009331716448614491,0.13607616341991338,0.007750663081959412
49,50,rollout5,paper,1.0,3,0.12004504692214868,0.0018160410370711437,0.6107432890063871,0.008032481514805236,2.704365462692491,0.01313588908346146,0.05560019443728222,0.0014136842465397649,0.3710685724067877,0.007865734110911883,0.08743405032467531,0.004556154244991417
49,50,rollout5,pos,0.3,3,0.1330471196758968,0.0010537522594329662,0.7442553867908249,0.004211548086767919,2.882490889965419,0.009595317347029881,0.04776009962103996,0.0010735166405039516,0.3941430203192047,0.005388513537243187,0.09856939935064934,0.00043245102315152994
49,50,rollout5,x0,1.0,3,0.14928356847772647,0.0012049276511121323,0.7679073807850347,0.007434898658913651,2.7174347292221253,0.014279259080136495,0.08271858491767153,0.001195481474121342,0.5250100963903467,0.0070724805437662455,0.058906588203463194,0.0012523236296444935
49,100,none,,0.0,3,0.15750235197089796,0.0040108681084290625,0.8859645383171172,0.013212497222248744,2.9413429937646556,0.011739958781946886,0.06377877616580263,0.0026828794729073665,0.5246478092593059,0.011053652330217642,0.16880580357142858,0.00871512330093717
49,100,oracle,,1.0,3,0.020053673759446743,0.00024054918388209822,0.12290982560076368,0.0018793250435890456,0.022922707222649233,0.00042471999258490587,0.010595194592409972,0.00020736878503473908,0.052266293764993504,0.000949635463100841,0.0034327651515151506,0.00022145226010735923
49,100,rollout1,,1.0,3,0.11335828457251973,0.0032492519131921047,0.6870818303056154,0.013401391744477536,2.830132952374918,0.008859983416564868,0.05047276886402857,0.0014653386473729004,0.4363657009208257,0.0074763581157006875,0.08917579816017314,0.00559587499112847
49,100,rollout5,,1.0,3,0.1139714905727096,0.0024001124987509193,0.6223466044238827,0.01125742171710748,2.6966539009764077,0.007251413828952933,0.05230456584392044,0.0014529393446164795,0.37756083447461286,0.006724269995212375,0.09088372564935061,0.004869116915872792
