frames,seed,method,energy_drift,speed_change_free,law_resid_bb,law_resid_wall,phantom_rate,overlap_rate,wall_exit_rate,posvel_free,n_collisions,t_diverge,t_diverge_median,energy_final,w1_collisions,w1_speed
49,0,block4,0.01967869362809288,0.006762613473734933,0.2212847667336728,0.043102412835929076,0.013765800645200348,0.007584212662337662,0.0021306818181818185,0.00801673594376929,14.723214285714286,19.284598214285715,18.0,0.9766021493837204,0.5509757621189405,0.10732144943511913
49,1,block4,0.018850084386538655,0.006826879124624707,0.23308031141768887,0.04904234685195043,0.013203476896570589,0.008598823051948052,0.002029220779220779,0.00875023441418152,14.712053571428571,19.347098214285715,19.0,0.975365195821122,0.541148175912044,0.09478048650274373
49,2,block4,0.01929794902303907,0.007155239696508914,0.23226252347825652,0.046828006210002625,0.01364956002602602,0.008040787337662338,0.001750202922077922,0.007997732992950772,14.678571428571429,19.243303571428573,18.0,0.9759998025284518,0.5392478760619692,0.1261133474679082
49,0,laws,0.1181659111725182,0.026130082409094237,0.3002452211163761,0.13601918016212422,0.08705174259383673,0.0002536525974025974,0.004033076298701299,0.01621462537835789,5.119419642857143,12.680803571428571,12.0,0.5728560395048287,10.026707896051972,1.5229896065084367
49,1,laws,0.13011915895529147,0.025611231132673114,0.2886305862718961,0.13412812760521206,0.08921306242783489,0.0003551136363636364,0.004134537337662337,0.017217521577473152,5.696428571428571,12.693080357142858,13.0,0.5253851436948674,9.449963768115943,1.7219831334900508
49,2,laws,0.12720995845955557,0.022879698447182715,0.2896993127797691,0.12432739979838801,0.07092186306536603,0.00027901785714285713,0.0036525974025974025,0.014586613888862728,5.683035714285714,12.925223214285714,13.0,0.5292715510920338,9.462833583208397,1.7201594996698748
49,0,laws_E,0.046509658669730176,0.02415465781194398,0.40558291316181866,0.3241381779407228,0.08387758115702613,0.0014965503246753247,0.013139204545454546,0.02102684060155146,8.597098214285714,12.638392857142858,12.0,0.9018320615297514,6.550848325837081,0.6555881417758096
49,1,laws_E,0.04451166233988181,0.025176563438823733,0.40840442483368866,0.30901259640640993,0.08407902742871963,0.0011414366883116883,0.013063108766233766,0.022183942728002077,9.052455357142858,12.719866071428571,13.0,0.9087710717799177,6.09496251874063,0.6825928197702515
49,2,laws_E,0.04991304026810329,0.022252265102399915,0.42817959812062284,0.3096141475511372,0.07567073846791714,0.0009385146103896103,0.010653409090909092,0.019787025977128177,8.659598214285714,12.795758928571429,13.0,0.8712189980248992,6.486154422788606,0.6954647582718958
49,0,laws_only,0.03796792656283473,0.015723957797055786,0.33595396672121564,0.05971453218829927,0.03608814078869795,7.609577922077922e-05,7.609577922077922e-05,0.011183123130868356,11.125,13.46875,13.0,0.9527208894777769,4.0208233383308345,0.19264638643117168
49,1,laws_only,0.03899587225637202,0.015012872060409518,0.3338925433525514,0.05915005481159563,0.03658169479975276,0.0001268262987012987,7.609577922077922e-05,0.01191046677942605,11.013392857142858,13.428571428571429,13.0,0.9486249010209623,4.1319802598700655,0.22046828801305152
49,2,laws_only,0.03891092531345087,0.014350467850165102,0.3336693161940819,0.05380317285414,0.03216120847164048,2.5365259740259742e-05,0.00010146103896103897,0.010395610925910218,11.21875,13.5234375,13.0,0.9493978536721589,3.926944027986007,0.23431845463909906
