frames,seed,method,frechet_pos,sw2_pos,frechet_pos_pca8,frechet_pos_pca16,frechet_pos_pca32,frechet_pos_pca64,frechet_pos_pca128,frechet_vel,sw2_vel,frechet_vel_pca8,frechet_vel_pca16,frechet_vel_pca32,frechet_vel_pca64,frechet_vel_pca128,frechet_both,sw2_both,frechet_both_pca8,frechet_both_pca16,frechet_both_pca32,frechet_both_pca64,frechet_both_pca128,c2st_cnn,c2st_gbm,c2st_linear
25,1,block4,1.366020185407446,0.0635438474329767,0.733168632006616,0.9770015178466464,1.2736962951432749,1.349231668300693,1.363349100494587,2.5756999243909786,0.06385630521452232,0.4283871224624407,0.7173494693716687,1.233439681081737,1.7547195660671613,2.22216454091088,3.247629631789969,0.06349730982639303,0.7299332237754829,1.1178293547980345,1.7892613306702858,2.425341109767061,2.8764204952331354,0.5016852915287018,0.5083829919304781,0.5167442582247052
25,2,block4,1.3644113799304187,0.06194252026680807,0.7771507026172406,1.010772202342336,1.2691184524001617,1.3479892079817608,1.3617303436049457,2.5317992795551327,0.06196455964913786,0.39389775711598735,0.6779919517040686,1.1498947185240547,1.6739937613778588,2.1697866646981177,3.22907882641252,0.06333681935035634,0.7927792411407069,1.150822603145828,1.7483390506499175,2.4001936749296444,2.851503127050928,0.5134357631206512,0.5139757914338919,0.49886405959031654
33,0,truth,1.7272450633804817,0.0599603831215287,0.6654670125431084,1.0421337391084342,1.4979692705655498,1.6774996442544745,1.7176788300758936,3.5147148125417083,0.059732000396681265,0.5049001566181565,0.7666839725509631,1.2474945145542498,1.9899685260033726,2.66508449993767,4.313184964705565,0.059875112049271616,0.69421506960386,1.256901377929808,1.9857374971923516,2.8094939508258365,3.483635419645013,0.5077994406223297,0.5016557476540981,0.497748245436579
33,1,truth,1.7272450633804817,0.0596900467284144,0.6654670125431084,1.0421337391084342,1.4979692705655498,1.6774996442544745,1.7176788300758936,3.5147148125417083,0.06039415430588276,0.5049001566181565,0.7666839725509631,1.2474945145542498,1.9899685260033726,2.66508449993767,4.313184964705565,0.05982621871105421,0.69421506960386,1.256901377929808,1.9857374971923516,2.8094939508258365,3.483635419645013,0.4876877129077911,0.49272653709092606,0.492167877873049
33,2,truth,1.7272450633804817,0.06061966230938143,0.6654670125431084,1.0421337391084342,1.4979692705655498,1.6774996442544745,1.7176788300758936,3.5147148125417083,0.059341384031461365,0.5049001566181565,0.7666839725509631,1.2474945145542498,1.9899685260033726,2.66508449993767,4.313184964705565,0.061076283882377756,0.69421506960386,1.256901377929808,1.9857374971923516,2.8094939508258365,3.483635419645013,0.49051368832588194,0.4888283717962684,0.47880518510449577
33,0,none,1.7437202719354263,0.062337908194697034,0.7006760654177574,1.0797074201692838,1.5043705177035867,1.692606859765181,1.733352682603808,3.5230763506821945,0.06630983292894216,0.4437529134646259,0.7332978673792492,1.3146245143638962,2.0594143459155716,2.7180827288337275,4.321526437324743,0.06444847185365273,0.7209418681438949,1.1807443395198383,1.933359181284091,2.8275384675386706,3.510838250015203,0.5016635656356812,0.5446554934823091,0.5072749844816885
33,1,none,1.8477393340871713,0.06524445391363909,0.8437982247831479,1.2379156845417718,1.64104999953163,1.8015251440593283,1.8382337891908398,3.4758244404000256,0.0644756452382197,0.46866734001414995,0.734237228050752,1.3015622889406238,1.9820144714176104,2.66179744621643,4.318805383267652,0.06476431564417004,0.8544692402591589,1.3319476944540023,2.064708879468715,2.8583222067981335,3.511495539427704,0.5122687876224518,0.5775698324022346,0.5123060211049038
33,2,none,1.8232892102784182,0.06367483831992381,0.7826606304358587,1.1641405335581942,1.5949669339055512,1.7756863151891709,1.8132936146561704,3.503975662139544,0.06504862830090656,0.5533501271615489,0.7881452755372563,1.288847568999646,2.0111996520563884,2.695436476852168,4.352004113999464,0.064145141654928,0.8074242216304548,1.3168239856978814,2.0511482253175757,2.87931685984349,3.5464794264745554,0.5000031054019928,0.5446399751707014,0.4804748603351956
33,0,rollout1_s1,2.497353134322253,0.06594712736808137,0.7595476290459617,1.2685996612910486,2.0977711370165535,2.44308894318525,2.4900101678791,5.154655837791912,0.14835358289177467,0.8679609755066189,1.3550623097057521,2.6812287261811054,3.763966246451221,4.4767712047674,6.033598871576701,0.09322302682612259,0.8245569358702527,1.703935108269983,2.9151744353983404,4.525238373634245,5.334407282714623,0.8516170144081116,0.9028988206083177,0.5083736809435133
33,1,rollout1_s1,2.592166155999871,0.06906563942806482,0.8498711938425305,1.3596243978594447,2.22872588869642,2.538997109386311,2.5850604080996513,5.16693913521576,0.14486388998596175,0.8373232715382972,1.2265669539375057,2.6254148850829537,3.768952506443329,4.499304960591838,6.083515372480743,0.09330219920873066,0.8945951212956762,1.7217029712518412,3.0150141788884257,4.582156321655628,5.398869821267724,0.867749834060669,0.8900589695841093,0.5089106145251397
