frames,seed,steps,guide,strength,tag,channels,guide_start,x0_only,velocity_source,sample_time_s,run,calibration.rollout_paper_h1,calibration.rollout_paper_h5,calibration.gt_error,calibration.rollout_h1,calibration.rollout_h5,calibration.invalid_frame_rate,holdout.rollout_paper_h1,holdout.rollout_paper_h5,holdout.gt_error,holdout.rollout_h1,holdout.rollout_h5,holdout.invalid_frame_rate,all.rollout_paper_h1,all.rollout_paper_h5,all.gt_error,all.rollout_h1,all.rollout_h5,all.invalid_frame_rate
25,0,20,none,0.0,,all,0.0,False,generated,1.6755611896514893,out/runs/25f_seed0_steps20/none,0.13673191780290517,0.6624929776540642,1.219564476558459,0.06351035748694961,0.42249341774574234,0.136328125,0.15031750170639846,0.707080525723329,1.3283594182873733,0.07014559289464473,0.4666830016457193,0.15072544642857144,0.14861930371846183,0.701507082214671,1.3147600505712589,0.06931618846868282,0.4611593036582222,0.14892578125
25,0,20,oracle,0.03,,all,0.0,False,generated,3.6303985118865967,out/runs/25f_seed0_steps20/oracle_s0.03,0.13223048879477478,0.6463550550318603,1.1581962297792239,0.06203419189213333,0.41344797492763435,0.13046875,0.14778229181140595,0.6921042877650646,1.2627529923075087,0.06858254961042329,0.4586761594568479,0.14469866071428572,0.14583831643432704,0.6863856336734139,1.2496833969914731,0.06776400489563703,0.4530226363906962,0.14291992187500002
25,0,20,oracle,0.1,,all,0.0,False,generated,3.6804022789001465,out/runs/25f_seed0_steps20/oracle_s0.1,0.1294587678983282,0.6032930022650306,0.9984785765119542,0.062057983978681085,0.394238468421547,0.1328125,0.14030137944239573,0.6525333160740595,1.110316895220599,0.06527898957963758,0.4300338403432504,0.13604910714285715,0.13894605299938728,0.6463782768479309,1.0963371053820186,0.06487636387951802,0.4255594188530374,0.13564453124999998
25,0,20,oracle,0.3,,all,0.0,False,generated,3.628541946411133,out/runs/25f_seed0_steps20/oracle_s0.3,0.10184048097167203,0.46442804153338224,0.5696242214312647,0.049565777822758984,0.2896445594550478,0.08085937500000001,0.12215201827757059,0.5513298469302927,0.6771866037217252,0.059114608077445015,0.3572073209880511,0.11456473214285715,0.11961307611433328,0.5404671212556789,0.6637413059354178,0.057921004295609264,0.3487619757964257,0.1103515625
25,0,20,oracle,1.0,,all,0.0,False,generated,3.6201517581939697,out/runs/25f_seed0_steps20/oracle_s1,0.05353185476200764,0.24706977947767322,0.06273768591554116,0.032112358515153164,0.11234111041511678,0.0140625,0.058870388745018536,0.2721992190490531,0.07364895112923163,0.034468356809024034,0.12784989438429875,0.018303571428571426,0.05820307199714217,0.2690580391026306,0.07228504297752034,0.03417385702229017,0.12591129638815102,0.0177734375
25,0,20,oracle,10.0,,all,0.0,False,generated,3.599423885345459,out/runs/25f_seed0_steps20/oracle_s10,0.4371512899767478,1.182489705768147,0.5466035486208306,0.2887808265221581,0.7420077832925572,0.319921875,0.44093196126530876,1.202608232167037,0.5548772287599947,0.2912518470826592,0.7598805386156252,0.31367187499999993,0.4404593773542386,1.200093416367176,0.5538430187425992,0.29094296951259657,0.7576464442002417,0.314453125
25,0,20,oracle,3.0,,all,0.0,False,generated,3.6369569301605225,out/runs/25f_seed0_steps20/oracle_s3,0.095166908744393,0.3761298913481409,0.17571945523783822,0.060144367070945934,0.1890308203315334,0.05468750000000001,0.09756987102828048,0.3945905924896752,0.17416714320338597,0.06155876583497772,0.19324278871058836,0.05167410714285714,0.09726950074279453,0.3922830048469835,0.17436118220769248,0.06138196598947374,0.1927162926632065,0.052050781250000004
25,0,20,rollout1,0.03,,all,0.0,False,generated,8.043931484222412,out/runs/25f_seed0_steps20/rollout1_s0.03,0.1317161048015748,0.6489680139776989,1.2112967650481221,0.06030183691406714,0.4132763689536912,0.12851562500000002,0.14600459413289618,0.6958697495555055,1.3208444089836093,0.06654866023686463,0.4561587233893724,0.14135044642857142,0.144218532966481,0.6900070326082797,1.3071509534916732,0.06576780732151495,0.4507984290849123,0.13974609375000002
25,0,20,rollout1,0.1,,all,0.0,False,generated,8.029182434082031,out/runs/25f_seed0_steps20/rollout1_s0.1,0.12712041575091718,0.6471128244607116,1.1939633222850135,0.05638161756337608,0.4095130765261165,0.115234375,0.1349368843235135,0.6680706823811882,1.3029216653364841,0.05995417325542909,0.431838565055708,0.12154017857142858,0.13395982575193896,0.6654509501411285,1.2893018724550505,0.05950760379392246,0.4290478789895091,0.120751953125
25,0,20,rollout1,0.3,,all,0.0,False,generated,7.685077428817749,out/runs/25f_seed0_steps20/rollout1_s0.3,0.1160754449224188,0.5972937363124686,1.1609888226568348,0.05153227969398765,0.3770308480339414,0.09609375,0.11682501658914439,0.6159495070675552,1.2691241689371213,0.050751010153148764,0.38757080459736637,0.08493303571428572,0.1167313201308037,0.6136175357231693,1.2556072506520852,0.050848668845753626,0.3862533100269383,0.086328125
