video,source_video,rollout_h5_error,rollout_h5_p95,rollout_h5_max,observed_frames,frames,video_sha256,simulation_metadata
continuous-window-accept-case1-v1/case1-source164-baseline-seed0/videos/00000/164.mp4,00000/164.mp4,1.0272695854486664,2.5779770769890002,4.176821088546046,5,49,7b9899edfcdbc521f12b78fd3e6cad35fcbb9a0ebf8f8bcc70bd71b8e345660b,data/bounce/eval_49f_5n_0c/00000/164.npz
continuous-window-accept-case1-v1/case1-source164-baseline-seed1/videos/00000/164.mp4,00000/164.mp4,1.0607287150638012,3.37321086833644,5.789797016207081,5,49,90a86bf914af446beac2671675d52a9a838542a992a4827b4d6fbcbbdc681517,data/bounce/eval_49f_5n_0c/00000/164.npz
continuous-window-accept-case1-v1/case1-source164-guided-seed0/videos/00000/164.mp4,00000/164.mp4,1.0742705999504507,2.8726014527472543,4.155618060728618,5,49,eb21a10e7e831ff007837917525be8a93de11085ad5b59e3db87697493549cf3,data/bounce/eval_49f_5n_0c/00000/164.npz
continuous-window-accept-case1-v1/case1-source164-guided-seed1/videos/00000/164.mp4,00000/164.mp4,1.013192990708569,3.0293131250334495,5.305563483369913,5,49,f03b41fed10451fb186642a9ba37380d0c55f736f2099d6a7562da0d4da77942,data/bounce/eval_49f_5n_0c/00000/164.npz
guidance-experiments-report/qualitative/cleaned-rollout5-baseline/shard-0/videos/00000/164.mp4,00000/164.mp4,1.0272695854486664,2.5779770769890002,4.176821088546046,5,49,7b9899edfcdbc521f12b78fd3e6cad35fcbb9a0ebf8f8bcc70bd71b8e345660b,data/bounce/eval_49f_5n_0c/00000/164.npz
guidance-experiments-report/qualitative/cleaned-rollout5-baseline/shard-1/videos/00000/828.mp4,00000/828.mp4,1.0217760719224382,3.044657451629633,5.313578448893314,5,49,e77a270fdfcb1666478e6daef80b1307edd55f1e52dee48ef02a4a40771f45f0,data/bounce/eval_49f_5n_0c/00000/828.npz
guidance-experiments-report/qualitative/cleaned-rollout5-baseline/shard-2/videos/00000/037.mp4,00000/037.mp4,1.14981425878602,3.1155110020328913,4.176995258524136,5,49,9f80985e684dc8122a26de3f115b4701c9b582f3673870880be790c968e9e222,data/bounce/eval_49f_5n_0c/00000/037.npz
guidance-experiments-report/qualitative/cleaned-rollout5-baseline/shard-3/videos/00000/871.mp4,00000/871.mp4,0.9398955894612115,2.6829855573341046,5.311569453044987,5,49,0ada1c6a7c1a55288ff15898d4ad748d1e7eae352bbd94f9d891592c1b730eee,data/bounce/eval_49f_5n_0c/00000/871.npz
guidance-experiments-report/qualitative/cleaned-rollout5-s0p10/shard-0/videos/00000/164.mp4,00000/164.mp4,1.3202098040830925,3.265260954500996,6.226627907379539,5,49,c3269a3603193f92d63a571f9ef65f78c72cf3e665481e3b0e7b410940dcc570,data/bounce/eval_49f_5n_0c/00000/164.npz
guidance-experiments-report/qualitative/cleaned-rollout5-s0p10/shard-1/videos/00000/828.mp4,00000/828.mp4,1.0464917933169178,2.9719751717224363,5.388297764535952,5,49,ef536ced212e1f572592026b9fcfa96c6d5179f75c41eec116162fb4f53a0fbe,data/bounce/eval_49f_5n_0c/00000/828.npz
